Amount,Hour_of_Day,Distance_from_Home_KM,Merchant_Category,Transaction_Method,Card_Type,Recent_24h_Transactions,Risk_Score_V1,Risk_Score_V2,Is_Fraud
107.95,18.0,8.7,Grocery,Contactless Tap,Mastercard,0,1.768,-0.055,0
18.89,11.0,25.8,Online Retail,Contactless Tap,Visa,5,-0.448,-0.77,0
31.16,14.2,71.4,Online Retail,Online POS,Mastercard,2,-1.173,0.566,0
58.52,13.8,9.8,Grocery,Online POS,Mastercard,0,-0.626,-0.552,0
106.66,19.3,11.7,Online Retail,Contactless Tap,Discover,1,-2.038,-2.872,0
416.26,15.0,5.7,Online Retail,Contactless Tap,Visa,1,2.33,0.598,0
253.65,17.0,1.3,Dining,In-Person Chip,Visa,3,-0.155,-1.075,0
38.15,16.5,30.2,Grocery,Contactless Tap,Visa,1,-1.47,0.043,0
90.77,9.9,1.2,Grocery,Online POS,Visa,3,-1.505,1.402,0
8.82,13.5,4.9,Online Retail,In-Person Chip,Mastercard,0,1.138,-1.597,0
344.49,20.8,5.2,ATM Withdrawal,Online POS,Mastercard,0,-1.545,-0.879,0
26.16,15.6,24.7,Grocery,In-Person Chip,Visa,3,-1.914,-0.973,0
81.42,16.9,5.1,Electronics,Online POS,Discover,0,-0.408,0.203,0
7.83,10.8,24.0,Online Retail,In-Person Chip,Visa,1,-2.535,0.087,0
37.0,19.7,17.5,Grocery,Online POS,Mastercard,3,0.388,0.579,0
46.16,16.5,8.7,Dining,In-Person Chip,Mastercard,1,0.323,-1.662,0
79.78,14.6,2.4,Gas Station,Contactless Tap,Visa,3,-0.294,0.807,0
5.14,16.2,7.1,Grocery,In-Person Chip,Visa,0,0.998,-1.039,0
294.3,18.4,5.7,Online Retail,In-Person Chip,Amex,2,-2.19,-0.14,0
38.7,8.6,3.5,Gas Station,In-Person Chip,Visa,2,-0.64,0.521,0
19.33,13.6,35.4,Dining,In-Person Chip,Visa,2,-0.176,-0.264,0
35.18,0.8,1.5,Electronics,Online POS,Amex,1,0.202,0.026,0
36.46,12.0,23.8,Dining,In-Person Chip,Mastercard,1,0.437,-1.674,0
143.53,16.1,1.7,Dining,In-Person Chip,Discover,2,0.544,-0.614,0
150.0,19.0,14.6,Luxury Goods,Online POS,Mastercard,4,-1.011,3.14,1
33.03,16.7,37.9,ATM Withdrawal,In-Person Chip,Visa,4,0.363,-0.612,0
39.25,22.6,16.4,Gas Station,Contactless Tap,Visa,0,0.15,0.62,0
40.71,6.6,11.3,Gas Station,Contactless Tap,Visa,2,-1.034,0.812,0
8.23,12.2,11.5,Dining,Contactless Tap,Visa,2,1.552,1.755,0
11.4,14.3,13.6,Online Retail,In-Person Chip,Discover,2,1.184,0.103,0
39.35,11.5,1.3,Online Retail,Contactless Tap,Mastercard,2,-2.219,0.861,0
156.86,15.5,0.1,Grocery,Contactless Tap,Mastercard,4,-1.329,1.421,0
65.57,14.7,4.4,Gas Station,Online POS,Mastercard,0,1.583,-2.753,0
27.69,12.1,6.5,Grocery,Online POS,Mastercard,1,-0.695,-2.683,0
19.23,0.1,9.0,Online Retail,Online POS,Visa,3,-0.903,-1.032,0
94.17,19.8,4.3,Online Retail,Online POS,Discover,3,-2.079,-1.311,0
27.46,8.0,7.2,Online Retail,In-Person Chip,Visa,3,0.98,1.231,0
101.17,13.9,13.3,Dining,Contactless Tap,Visa,0,1.37,-0.971,0
62.94,11.4,5.7,Dining,In-Person Chip,Visa,1,0.248,1.706,0
10.48,14.5,29.3,Grocery,Online POS,Mastercard,2,1.209,2.054,0
70.74,11.1,21.6,Grocery,Online POS,Visa,2,-0.537,0.242,0
130.7,13.4,4.6,Online Retail,Online POS,Visa,1,0.239,0.195,0
57.43,12.0,7.5,Online Retail,In-Person Chip,Visa,4,0.945,-1.202,0
40.63,21.8,13.7,Grocery,Contactless Tap,Amex,2,-0.838,0.218,0
159.34,19.4,1.0,Dining,Online POS,Mastercard,2,0.541,1.081,0
26.89,17.2,15.1,Gas Station,Contactless Tap,Mastercard,2,0.44,1.438,0
62.12,14.2,4.3,Dining,In-Person Chip,Visa,2,1.318,-0.664,0
126.29,17.9,29.7,Grocery,Online POS,Discover,3,-0.603,-0.501,0
54.54,16.6,0.5,Dining,ATM Cash,Mastercard,1,0.688,1.06,0
89.67,12.8,0.7,Grocery,Contactless Tap,Amex,2,0.302,-0.257,0
18.67,13.2,11.6,Gas Station,Online POS,Mastercard,2,-1.927,-2.05,0
627.67,13.9,26.4,Dining,In-Person Chip,Mastercard,2,-0.645,0.521,0
9.67,15.2,0.7,Grocery,Contactless Tap,Visa,2,0.876,-0.366,0
32.25,22.0,14.4,Dining,Contactless Tap,Visa,1,-0.744,-0.078,0
11.07,14.8,11.2,Dining,Contactless Tap,Visa,2,1.249,-0.389,0
84.18,9.4,11.1,Grocery,Contactless Tap,Visa,2,0.978,-1.124,0
25.96,8.3,0.7,Online Retail,In-Person Chip,Mastercard,3,0.208,1.769,0
82.1,7.1,7.9,Dining,Contactless Tap,Visa,1,0.01,1.066,0
142.96,7.8,8.2,Dining,In-Person Chip,Amex,1,-1.496,-1.198,0
84.38,20.4,12.4,Grocery,In-Person Chip,Amex,0,2.653,-0.353,0
55.06,16.9,6.1,Grocery,In-Person Chip,Visa,1,-0.309,1.373,0
90.15,15.5,22.6,Travel & Airlines,Online POS,Visa,3,-0.553,-0.868,0
40.61,8.9,10.5,Dining,Contactless Tap,Mastercard,1,-0.336,-0.721,0
103.87,13.0,6.0,Dining,ATM Cash,Visa,2,4.327,0.487,0
37.37,23.0,18.7,Dining,In-Person Chip,Amex,1,0.352,0.542,0
147.91,8.8,5.8,Dining,In-Person Chip,Mastercard,1,1.045,-2.061,0
22.37,12.4,1.8,Dining,In-Person Chip,Visa,1,-0.712,-0.622,0
37.02,11.8,0.4,Gas Station,In-Person Chip,Visa,0,1.254,-1.682,0
32.93,6.7,9.9,Online Retail,Online POS,Mastercard,4,1.692,-0.884,0
39.86,15.6,6.3,Online Retail,Contactless Tap,Discover,3,0.29,-0.938,0
36.19,1.0,1.0,Grocery,ATM Cash,Visa,0,0.954,0.759,0
7.14,15.0,24.0,Gas Station,Online POS,Mastercard,4,0.799,0.373,0
152.93,14.0,1.1,Online Retail,Contactless Tap,Mastercard,2,-0.3,-0.948,0
57.36,14.8,35.8,Gas Station,In-Person Chip,Visa,0,-2.299,-0.754,0
67.75,12.4,10.1,Online Retail,Online POS,Visa,0,-0.367,-0.764,0
102.23,15.0,12.3,Grocery,Online POS,Visa,1,-1.635,-1.674,0
60.07,18.5,0.5,Electronics,In-Person Chip,Mastercard,4,-0.699,0.616,0
14.31,21.6,3.0,Luxury Goods,Online POS,Mastercard,0,-0.276,-0.096,0
107.88,7.7,19.4,Dining,In-Person Chip,Visa,0,0.038,-2.433,0
36.11,15.4,1.1,Dining,Online POS,Amex,3,1.31,2.618,0
6.18,7.7,7.0,Grocery,Contactless Tap,Visa,0,1.043,-2.663,0
195.96,10.2,3.5,Online Retail,In-Person Chip,Mastercard,0,-2.398,0.863,0
58.38,14.2,4.0,ATM Withdrawal,In-Person Chip,Visa,7,-0.628,1.129,0
20.86,17.5,15.6,Dining,Online POS,Visa,1,1.309,-0.93,0
165.86,10.6,8.0,Grocery,Contactless Tap,Mastercard,6,1.824,-2.267,0
18.16,16.4,50.6,Online Retail,Contactless Tap,Mastercard,1,-0.797,-1.76,0
30.31,16.7,1.2,Electronics,Online POS,Amex,2,0.71,-1.464,0
58.74,12.4,9.5,Grocery,Online POS,Visa,1,1.026,-2.411,0
12.96,19.5,9.8,Electronics,In-Person Chip,Visa,1,1.273,-1.384,0
24.35,12.3,5.9,Grocery,Online POS,Visa,4,-0.125,-0.578,0
35.68,14.5,15.0,Gas Station,Online POS,Visa,5,-0.525,0.426,0
199.55,17.4,0.4,Gas Station,Online POS,Mastercard,4,-0.061,-0.178,0
283.9,0.5,38.3,Grocery,Contactless Tap,Mastercard,0,-0.994,-0.307,0
109.6,15.4,6.0,Electronics,Contactless Tap,Mastercard,1,0.195,1.026,0
82.2,14.3,14.1,Grocery,Contactless Tap,Amex,2,3.635,0.383,0
7.75,11.0,13.3,Travel & Airlines,Contactless Tap,Discover,3,-0.706,0.455,0
28.46,14.9,8.1,Dining,In-Person Chip,Mastercard,4,0.474,-1.845,0
17.25,14.5,1.1,ATM Withdrawal,Contactless Tap,Amex,3,0.463,-1.929,0
63.67,17.0,8.2,Grocery,In-Person Chip,Mastercard,1,2.393,0.145,0
37.83,11.9,6.4,Dining,Online POS,Visa,1,-1.056,0.181,0
60.71,17.1,19.5,ATM Withdrawal,Online POS,Mastercard,2,2.118,-2.04,0
19.15,7.6,22.6,Electronics,Online POS,Mastercard,3,-3.174,0.956,0
21.17,13.0,4.3,Grocery,In-Person Chip,Visa,2,0.22,2.965,0
86.29,11.2,1.6,Grocery,Online POS,Visa,3,-2.075,-0.236,0
1002.17,16.7,21.1,Grocery,In-Person Chip,Visa,1,-2.736,1.994,0
69.31,0.0,23.5,Dining,In-Person Chip,Mastercard,4,1.561,-0.217,0
184.27,8.4,51.1,Electronics,In-Person Chip,Mastercard,2,-0.793,0.923,0
27.22,7.5,20.7,Dining,In-Person Chip,Mastercard,2,1.686,-1.861,0
23.94,11.8,4.5,Electronics,ATM Cash,Amex,1,-0.126,0.475,0
19.96,17.4,5.8,Online Retail,In-Person Chip,Visa,2,-2.039,-0.119,0
385.65,11.8,0.9,Dining,In-Person Chip,Mastercard,4,-0.432,0.465,0
236.19,0.0,7.7,Electronics,In-Person Chip,Visa,3,-0.537,0.311,0
119.87,16.7,4.0,Grocery,Contactless Tap,Mastercard,1,0.479,1.149,0
10.66,17.7,9.1,Dining,In-Person Chip,Visa,2,-0.92,1.032,0
50.18,2.0,26.7,Electronics,Online POS,Visa,9,-0.638,1.004,1
143.31,12.2,2.6,Online Retail,Online POS,Visa,5,-1.202,-2.971,0
10.15,14.3,3.0,Online Retail,Contactless Tap,Visa,2,-0.764,-1.424,0
51.5,12.1,13.4,Dining,In-Person Chip,Amex,1,-0.129,0.363,0
55.17,16.2,0.5,Dining,ATM Cash,Mastercard,2,0.717,1.301,0
123.68,9.7,33.3,Grocery,In-Person Chip,Visa,1,3.19,-0.911,0
7.1,21.0,3.4,Gas Station,Contactless Tap,Amex,4,0.95,1.683,0
57.0,12.4,7.5,Grocery,Online POS,Amex,0,0.63,0.71,0
5.11,11.4,4.1,Dining,Contactless Tap,Mastercard,0,0.152,-1.074,0
23.06,15.8,1.7,Online Retail,In-Person Chip,Mastercard,1,1.239,-1.373,0
130.46,17.3,0.6,Travel & Airlines,Online POS,Visa,3,1.849,0.935,0
6.84,4.8,10.7,Gas Station,Contactless Tap,Visa,2,-0.321,0.951,0
16.05,10.7,12.5,Gas Station,In-Person Chip,Visa,1,-1.501,0.88,0
16.54,14.4,20.9,Dining,In-Person Chip,Visa,0,-0.584,-0.195,0
29.69,12.8,1.6,Online Retail,In-Person Chip,Mastercard,1,1.296,0.212,0
26.42,7.2,12.7,Online Retail,Contactless Tap,Visa,3,-0.572,0.259,0
34.02,10.5,36.6,Dining,Contactless Tap,Mastercard,2,0.377,-2.056,0
34.13,12.0,13.7,Grocery,In-Person Chip,Visa,2,-1.752,0.696,0
61.03,20.8,9.2,Grocery,In-Person Chip,Amex,0,2.334,-2.825,0
7.86,19.5,2.6,Online Retail,In-Person Chip,Mastercard,2,-0.828,-0.953,0
60.25,14.5,19.5,Online Retail,Online POS,Mastercard,4,-2.472,0.485,0
58.71,20.9,3.5,Gas Station,Contactless Tap,Visa,3,1.429,0.584,0
21.97,13.2,5.6,Dining,In-Person Chip,Visa,0,-1.338,-2.218,0
56.0,12.5,1.9,Grocery,In-Person Chip,Mastercard,1,0.546,0.308,0
97.66,8.6,5.4,Online Retail,In-Person Chip,Mastercard,0,0.42,0.158,0
352.21,1.0,9.0,Gas Station,Contactless Tap,Amex,2,1.274,-0.494,0
117.04,16.9,10.0,Grocery,Contactless Tap,Visa,0,-1.128,0.099,0
27.45,10.7,7.5,Luxury Goods,In-Person Chip,Visa,3,2.116,-1.32,0
2.89,13.1,58.8,Grocery,Online POS,Visa,2,-1.17,-0.28,0
61.14,13.0,7.2,Gas Station,Contactless Tap,Discover,1,1.969,-0.095,0
50.7,16.7,0.4,Gas Station,Contactless Tap,Mastercard,0,-1.383,-0.593,0
16.47,12.5,0.5,Electronics,In-Person Chip,Visa,3,-2.734,-0.344,0
5.97,9.0,12.1,Luxury Goods,In-Person Chip,Visa,1,-0.073,1.017,0
21.13,8.7,32.3,Grocery,In-Person Chip,Visa,4,0.747,-1.134,0
95.17,1.1,11.3,ATM Withdrawal,Contactless Tap,Visa,3,-1.202,-1.258,0
16.82,12.7,16.5,Grocery,In-Person Chip,Visa,0,-0.38,1.144,0
126.59,10.4,9.1,Grocery,Online POS,Visa,0,-2.42,-0.651,0
44.19,15.5,9.5,Gas Station,Contactless Tap,Visa,1,-0.926,0.316,0
23.8,14.6,10.4,Grocery,In-Person Chip,Mastercard,1,-0.793,0.232,0
113.05,9.9,0.2,Online Retail,Contactless Tap,Visa,2,-0.104,0.119,0
91.69,17.9,33.6,Online Retail,Contactless Tap,Visa,2,-0.064,2.075,0
14.05,8.8,16.3,Online Retail,In-Person Chip,Amex,5,-1.058,-1.857,0
20.0,8.9,4.0,Online Retail,In-Person Chip,Mastercard,3,1.288,0.841,0
465.75,13.8,0.1,Grocery,Online POS,Visa,1,-0.741,-0.803,0
25.37,14.7,7.2,Grocery,Online POS,Mastercard,1,0.512,-0.317,0
21.82,0.6,14.8,Grocery,Contactless Tap,Discover,1,0.345,-1.051,0
138.77,17.6,59.3,Online Retail,In-Person Chip,Visa,3,-0.847,0.313,0
46.73,18.4,9.1,Grocery,ATM Cash,Mastercard,2,0.301,-0.233,0
28.88,13.0,1.4,Online Retail,Contactless Tap,Mastercard,2,0.005,0.225,0
45.5,13.1,37.8,Gas Station,Online POS,Visa,3,-1.391,1.292,0
77.56,10.2,13.9,ATM Withdrawal,Online POS,Mastercard,2,0.916,3.118,0
9.29,15.5,4.5,Dining,Contactless Tap,Visa,1,-1.344,0.676,0
63.97,9.8,11.3,Grocery,In-Person Chip,Discover,2,-0.413,1.006,0
41.67,11.5,1.1,Online Retail,Contactless Tap,Mastercard,1,1.768,1.716,0
1.5,13.1,0.8,Online Retail,In-Person Chip,Mastercard,2,-1.052,1.464,0
45.36,16.1,3.4,Electronics,ATM Cash,Discover,1,-1.209,-1.046,0
37.19,14.4,21.1,Grocery,In-Person Chip,Visa,2,-2.597,1.701,0
12.35,17.2,7.3,Grocery,In-Person Chip,Mastercard,1,0.149,-0.24,0
56.42,14.1,5.1,Grocery,Online POS,Mastercard,1,1.688,-1.484,0
19.41,9.5,4.9,Dining,In-Person Chip,Visa,2,-0.316,1.558,0
7.67,11.2,10.7,Travel & Airlines,Contactless Tap,Mastercard,4,-0.008,-0.622,0
146.06,12.4,18.3,ATM Withdrawal,In-Person Chip,Mastercard,5,0.595,1.959,0
50.11,17.0,1245.8,Travel & Airlines,Online POS,Visa,7,-1.992,0.414,1
31.21,15.1,2.2,Dining,Contactless Tap,Amex,1,0.722,-0.227,0
21.45,17.1,2.8,Online Retail,Contactless Tap,Visa,0,-0.714,-0.572,0
73.77,19.4,38.4,Online Retail,Contactless Tap,Visa,0,-2.968,2.882,0
40.58,12.6,16.6,Travel & Airlines,In-Person Chip,Visa,4,0.179,-0.4,0
8.75,9.1,2.0,Grocery,Online POS,Visa,1,1.486,1.376,0
15.72,11.2,6.7,ATM Withdrawal,Contactless Tap,Mastercard,6,-0.46,-0.6,0
13.05,16.8,10.6,Dining,Contactless Tap,Visa,0,-1.258,-0.786,0
355.7,13.4,21.8,Grocery,Online POS,Mastercard,2,-2.261,0.719,0
29.56,15.3,0.3,Online Retail,In-Person Chip,Amex,1,-0.894,-0.244,0
6.8,11.6,4.4,Electronics,In-Person Chip,Mastercard,2,0.464,-1.05,0
103.94,2.0,0.6,Travel & Airlines,ATM Cash,Visa,1,-0.824,-1.154,0
47.48,19.9,1.3,Travel & Airlines,Contactless Tap,Mastercard,4,-0.145,-0.604,0
86.09,23.8,17.8,Grocery,In-Person Chip,Amex,0,0.023,1.341,0
52.36,17.4,0.8,Grocery,In-Person Chip,Mastercard,1,1.174,0.713,0
19.39,19.6,2.2,Online Retail,Online POS,Mastercard,0,0.713,1.815,0
81.72,7.2,0.5,Dining,In-Person Chip,Visa,4,0.512,1.483,0
41.15,6.2,3.1,Grocery,Contactless Tap,Visa,4,-0.793,1.122,0
38.1,15.1,1.0,Grocery,Online POS,Mastercard,1,0.308,-0.342,0
7.97,10.2,5.1,Grocery,Online POS,Mastercard,0,1.008,0.694,0
40.43,23.4,5.6,Grocery,In-Person Chip,Mastercard,0,-1.267,0.706,0
32.82,15.9,5.3,Grocery,In-Person Chip,Discover,1,1.182,0.158,0
51.13,14.9,1.1,Gas Station,In-Person Chip,Visa,2,1.453,0.094,0
98.98,11.6,11.9,Grocery,Online POS,Mastercard,5,-1.207,0.162,0
23.99,6.1,7.4,Grocery,In-Person Chip,Visa,2,0.229,0.249,0
13.61,20.7,17.1,Grocery,Online POS,Visa,1,1.238,0.523,0
76.78,18.3,18.5,Electronics,Online POS,Visa,0,-0.115,-0.07,0
57.52,11.3,20.2,Grocery,ATM Cash,Amex,2,-2.516,-2.378,0
22.21,12.4,4.8,Grocery,Contactless Tap,Amex,1,0.849,-1.721,0
34.85,15.7,4.9,Online Retail,Online POS,Visa,2,1.611,0.859,0
176.01,10.3,4.5,Dining,In-Person Chip,Visa,4,1.116,2.184,0
83.34,10.4,0.3,Electronics,ATM Cash,Discover,1,0.081,-1.044,0
116.18,20.1,9.5,Travel & Airlines,Online POS,Visa,0,-1.196,1.281,0
19.53,16.2,14.7,Dining,In-Person Chip,Visa,1,1.451,-0.649,0
25.88,9.7,28.2,Online Retail,Online POS,Mastercard,0,0.144,-0.221,0
35.84,15.6,6.9,Grocery,In-Person Chip,Visa,2,0.183,2.369,0
61.09,5.1,46.8,Online Retail,Online POS,Visa,1,0.816,-0.881,0
23.77,14.5,9.3,Online Retail,In-Person Chip,Visa,3,-1.022,-0.411,0
54.49,0.4,3.2,Online Retail,Online POS,Mastercard,5,-0.529,1.568,0
22.17,15.3,3.6,Gas Station,Online POS,Visa,0,-0.049,1.7,0
36.07,12.3,10.9,Online Retail,Online POS,Visa,2,0.132,-0.001,0
28.4,15.6,27.9,Online Retail,Contactless Tap,Visa,1,2.143,3.391,0
79.25,11.6,84.7,Online Retail,In-Person Chip,Mastercard,4,-0.803,-0.613,0
25.11,14.4,6.0,Dining,Online POS,Visa,1,0.943,-2.166,0
50.71,7.2,11.0,Dining,Online POS,Visa,4,1.3,-0.83,0
39.61,16.5,3.1,Online Retail,Contactless Tap,Visa,5,1.611,-2.519,0
49.69,11.0,9.5,Grocery,Contactless Tap,Discover,2,-1.075,-2.7,0
35.5,14.5,40.7,Online Retail,Online POS,Visa,1,0.366,-2.453,0
99.12,17.1,13.7,Gas Station,In-Person Chip,Mastercard,3,1.968,-1.411,0
34.91,15.7,7.8,Dining,In-Person Chip,Visa,0,-0.591,1.414,0
1005.17,22.4,16.7,Online Retail,Contactless Tap,Mastercard,2,-0.344,0.742,0
31.61,19.0,3.3,Gas Station,Contactless Tap,Mastercard,2,0.201,-0.913,0
11.38,18.6,20.1,Grocery,In-Person Chip,Visa,1,0.261,-0.558,0
19.76,15.3,4.1,Grocery,In-Person Chip,Mastercard,3,0.065,1.626,0
71.9,15.4,0.9,ATM Withdrawal,Contactless Tap,Visa,1,-0.954,0.353,0
48.66,14.0,3.7,Electronics,Online POS,Mastercard,4,1.3,1.284,0
99.16,14.4,3.8,Grocery,In-Person Chip,Mastercard,2,0.932,-0.788,0
103.39,10.8,7.2,Electronics,Online POS,Visa,2,-0.578,0.727,0
52.91,12.2,51.5,Grocery,In-Person Chip,Mastercard,1,-1.222,1.802,0
24.91,13.7,11.3,Online Retail,Contactless Tap,Visa,2,0.716,0.937,0
17.01,20.4,28.7,Online Retail,Online POS,Amex,4,-1.231,1.271,0
33.28,18.7,14.4,Travel & Airlines,In-Person Chip,Amex,3,-2.208,0.014,0
57.06,17.9,17.3,Online Retail,In-Person Chip,Mastercard,1,-1.341,0.97,0
14.49,11.7,2.9,Gas Station,Contactless Tap,Mastercard,1,-0.988,-1.695,0
39.82,14.2,6.8,Online Retail,Online POS,Mastercard,2,0.701,1.332,0
42.73,16.5,18.2,Grocery,ATM Cash,Mastercard,2,0.196,-0.136,0
49.29,9.5,17.1,Online Retail,In-Person Chip,Visa,3,-0.32,-0.077,0
5.19,9.2,10.3,Online Retail,Online POS,Mastercard,2,-0.187,-0.628,0
100.49,11.0,2.9,Grocery,In-Person Chip,Amex,0,-2.193,0.551,0
6.16,14.1,18.3,Online Retail,In-Person Chip,Visa,0,1.938,0.977,0
157.22,14.1,21.0,Dining,In-Person Chip,Mastercard,1,-2.703,-0.66,0
73.07,6.4,2.0,Travel & Airlines,In-Person Chip,Visa,1,0.384,-1.488,0
20.27,10.2,2.7,Online Retail,In-Person Chip,Mastercard,0,-0.75,-0.485,0
45.28,15.7,4.0,Gas Station,Online POS,Discover,3,3.112,0.182,0
53.82,11.4,6.1,Grocery,Online POS,Visa,3,-0.866,0.177,0
81.65,16.0,1.2,Grocery,In-Person Chip,Mastercard,0,0.542,-0.469,0
6.28,5.0,12.4,Grocery,In-Person Chip,Amex,1,1.462,-1.091,0
58.95,18.7,7.0,Electronics,In-Person Chip,Mastercard,2,1.026,0.103,0
64.69,17.5,10.7,Online Retail,In-Person Chip,Discover,1,-0.019,-0.101,0
63.21,11.3,6.4,Grocery,In-Person Chip,Visa,1,0.705,-0.987,0
18.38,17.7,16.1,Grocery,In-Person Chip,Mastercard,0,-0.893,-0.077,0
35.78,16.0,8.5,Grocery,Contactless Tap,Mastercard,5,1.018,1.22,0
13.87,19.2,27.9,Online Retail,In-Person Chip,Visa,3,-0.657,-1.532,0
48.68,17.4,12.3,Dining,Online POS,Visa,2,-0.913,-0.11,0
68.12,17.0,4.6,Grocery,Contactless Tap,Mastercard,1,0.927,0.624,0
16.89,13.4,56.4,Dining,Online POS,Mastercard,1,0.577,1.729,0
33.68,21.9,15.1,Luxury Goods,In-Person Chip,Visa,3,-1.416,-0.654,0
191.6,14.0,9.1,Online Retail,Online POS,Visa,3,1.448,0.488,0
156.42,12.9,0.3,Grocery,In-Person Chip,Amex,0,0.074,-1.343,0
53.44,18.9,13.8,Online Retail,In-Person Chip,Mastercard,2,-1.249,-0.015,0
42.92,15.1,13.3,Gas Station,In-Person Chip,Mastercard,0,-1.415,-0.168,0
91.99,6.2,4.7,Dining,Online POS,Mastercard,3,-1.568,-0.237,0
9.62,14.8,0.1,Grocery,In-Person Chip,Amex,2,-0.991,-0.048,0
50.91,13.4,0.4,Grocery,ATM Cash,Visa,3,-2.722,-0.212,0
147.34,13.4,37.1,Grocery,Online POS,Visa,3,0.577,-3.074,0
39.72,9.1,13.0,Grocery,In-Person Chip,Amex,3,-1.623,-1.563,0
46.92,15.7,8.7,Dining,In-Person Chip,Visa,2,-0.308,-1.221,0
101.7,10.6,9.4,Travel & Airlines,Online POS,Visa,5,2.412,-0.008,0
23.3,13.4,20.1,Gas Station,Online POS,Mastercard,4,1.546,1.116,0
125.54,14.6,3.4,Grocery,In-Person Chip,Mastercard,1,0.926,3.981,0
109.42,13.5,16.6,Grocery,Online POS,Visa,2,-0.649,1.357,0
67.09,21.8,8.0,Dining,Online POS,Mastercard,0,-0.117,2.137,0
7.38,16.5,8.5,Dining,In-Person Chip,Mastercard,1,-0.782,-0.014,0
74.55,22.2,14.5,Electronics,In-Person Chip,Mastercard,1,-1.864,0.696,0
22.37,15.8,1.6,Online Retail,Contactless Tap,Mastercard,2,0.429,-0.668,0
27.53,4.6,17.6,ATM Withdrawal,In-Person Chip,Visa,1,0.837,1.09,0
97.92,7.1,6.2,Travel & Airlines,In-Person Chip,Mastercard,1,-0.655,0.667,0
5.48,17.1,33.1,Electronics,Online POS,Mastercard,0,1.144,-0.241,0
118.61,15.4,5.1,Dining,Online POS,Mastercard,5,-0.458,-0.512,0
135.39,17.0,17.6,Grocery,In-Person Chip,Mastercard,2,-1.915,0.072,0
147.22,13.7,0.6,Luxury Goods,In-Person Chip,Discover,3,0.366,-0.183,0
70.19,24.0,18.7,Grocery,In-Person Chip,Mastercard,3,-0.855,0.735,0
23.24,15.9,2.9,Online Retail,Contactless Tap,Visa,0,-0.948,0.321,0
34.04,12.6,25.7,Grocery,Online POS,Visa,3,0.785,-1.496,0
19.6,12.6,6.3,Dining,ATM Cash,Visa,1,-0.251,-0.102,0
37.5,14.6,11.3,Gas Station,Contactless Tap,Visa,1,0.517,1.015,0
101.24,16.0,9.8,ATM Withdrawal,Contactless Tap,Visa,2,1.69,0.395,0
36.75,12.0,28.2,Grocery,In-Person Chip,Mastercard,3,2.199,-0.283,0
22.65,14.2,21.5,Electronics,In-Person Chip,Mastercard,1,-0.528,0.083,0
67.34,13.8,5.3,Electronics,ATM Cash,Visa,2,1.617,-0.688,0
27.15,16.5,48.8,Grocery,Online POS,Visa,3,0.988,-0.171,0
10.95,13.7,4.2,Grocery,In-Person Chip,Visa,3,-3.152,-1.372,0
26.27,16.6,13.8,Gas Station,In-Person Chip,Amex,3,-1.75,0.402,0
290.31,12.2,7.1,Online Retail,In-Person Chip,Visa,3,-0.028,0.063,0
9.5,4.4,0.9,Grocery,In-Person Chip,Visa,0,0.451,1.689,0
56.43,20.4,3.4,Travel & Airlines,Contactless Tap,Mastercard,2,-1.036,0.753,0
9.32,14.9,1.8,Travel & Airlines,Contactless Tap,Visa,2,1.817,-2.339,0
8.69,16.2,12.0,Travel & Airlines,Contactless Tap,Discover,0,0.865,0.169,0
1177.7,13.0,1.1,Online Retail,ATM Cash,Mastercard,7,-0.92,-0.744,1
8.42,18.2,53.7,Online Retail,Online POS,Amex,2,0.731,-1.784,0
98.04,11.6,12.3,Dining,Online POS,Mastercard,2,0.315,0.164,0
35.91,18.6,21.0,ATM Withdrawal,In-Person Chip,Visa,3,1.298,-0.496,0
101.91,5.4,29.3,Grocery,In-Person Chip,Mastercard,5,1.896,-0.724,0
35.7,11.8,9.7,Dining,In-Person Chip,Amex,1,-0.396,0.988,0
105.59,8.9,7.3,Online Retail,Contactless Tap,Visa,2,0.314,0.922,0
10.2,8.8,7.6,Online Retail,Contactless Tap,Mastercard,1,1.626,-0.995,0
50.96,19.2,5.5,Gas Station,Online POS,Mastercard,1,-0.576,0.192,0
6.97,9.8,15.2,Electronics,In-Person Chip,Mastercard,1,-0.32,-0.859,0
38.84,7.3,57.3,Dining,Online POS,Mastercard,1,2.051,0.374,0
36.52,15.0,6.3,Gas Station,In-Person Chip,Amex,2,1.956,0.177,0
37.64,18.0,3.0,Grocery,In-Person Chip,Visa,4,0.336,-1.637,0
77.06,13.9,19.7,Grocery,Online POS,Mastercard,2,-0.21,-0.373,0
31.31,18.2,11.5,Electronics,In-Person Chip,Mastercard,2,1.172,-2.104,0
35.61,15.6,33.2,Online Retail,Contactless Tap,Mastercard,3,1.227,0.872,0
6.18,15.2,22.5,Grocery,Online POS,Visa,3,-1.137,1.676,0
68.05,23.1,11.5,Online Retail,Contactless Tap,Visa,1,-0.94,-2.153,0
27.73,16.9,0.8,Grocery,Online POS,Mastercard,1,-1.72,0.217,0
54.39,7.5,19.4,Electronics,In-Person Chip,Visa,3,-0.606,-0.584,0
17.5,17.6,8.0,Dining,In-Person Chip,Visa,5,0.971,-2.266,0
76.01,9.0,124.8,Online Retail,Online POS,Amex,11,-1.729,2.125,1
117.22,15.0,16.0,Gas Station,Online POS,Visa,1,-0.329,-0.239,0
